Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Aaron Opoku,GER,"DF,MF",26.0,Kayserispor,TUR-Super Lig,1232,13.69,0,2,0.0,0.15,3,47,5,8,3,0,0.0,0.0,0.0,90,40,34.0,32.83,Zor
Aaron Ramsdale,ENG,GK,27.0,Newcastle,ENG-Premier League,1004,11.16,0,0,0.0,0.0,0,0,0,0,2,0,24.0,1.0,17.0,100,75,38.0,59.11,Zor
Aaron Wan-Bissaka,COD,"DF,MF",27.0,West Ham,ENG-Premier League,2081,23.12,0,2,0.0,0.09,0,43,24,41,4,0,0.0,0.0,0.0,100,40,38.0,35.3,Zor
Aaron Zehnter,GER,"DF,MF",20.0,Wolfsburg,GER-Bundesliga,1456,16.18,2,0,0.12,0.0,5,36,10,16,0,0,0.0,0.0,0.0,90,40,34.0,33.71,Zor
Aarón Escandell,ESP,GK,29.0,Oviedo,ESP-La Liga,3240,36.0,0,1,0.0,0.03,0,0,0,0,3,0,145.0,10.0,56.0,95,40,38.0,39.37,Zor
Aarón Martín,ESP,"MF,DF",28.0,Genoa,ITA-Serie A,2156,23.96,1,5,0.04,0.21,4,194,28,10,2,0,0.0,0.0,0.0,90,40,48.28,33.96,Zor
Abbosbek Fayzullayev,UZB,MF,21.0,Başakşehir,TUR-Super Lig,1103,12.26,3,3,0.24,0.24,12,82,17,6,4,0,0.0,0.0,0.0,90,75,34.0,60.61,Zor
Abde Ezzalzouli,MAR,"MF,FW",23.0,Real Betis,ESP-La Liga,2247,24.97,10,8,0.4,0.32,26,55,32,15,3,0,0.0,0.0,0.0,95,40,38.0,35.89,Zor
Abde Rebbach,ALG,"MF,DF",26.0,Alavés,ESP-La Liga,1496,16.62,1,4,0.06,0.24,12,109,21,16,8,0,0.0,0.0,0.0,95,40,38.0,33.25,Zor
Abdel Abqar,MAR,DF,26.0,Getafe,ESP-La Liga,1437,15.97,0,2,0.0,0.13,1,2,17,20,10,1,0.0,0.0,0.0,95,40,38.0,33.04,Zor
