player,nation,pos,team,age,league,playing time_min,performance_gls,performance_ast,performance_crdy,performance_crdr,performance_tklw,performance_int,performance_crs,standard_sot,performance_saves,performance_ga,performance_cs
Brenden Aaronson,us USA,"MF,FW",Leeds United,24,ENG-Premier League,2449,4,5,3,0,27,17,37,17,,,
Jerome Abbey,eng ENG,MF,Wolves,15,ENG-Premier League,17,0,0,0,0,0,1,0,0,,,
Zach Abbott,eng ENG,DF,Nottingham,19,ENG-Premier League,164,0,0,0,0,4,2,3,0,,,
Tammy Abraham,eng ENG,FW,Aston Villa,27,ENG-Premier League,286,2,0,0,0,1,0,1,3,,,
Joshua Acheampong,eng ENG,DF,Chelsea,19,ENG-Premier League,666,1,0,1,0,8,12,1,2,,,
Tyler Adams,us USA,MF,Bournemouth,26,ENG-Premier League,1772,2,2,8,0,24,30,3,6,,,
Tosin Adarabioyo,eng ENG,DF,Chelsea,27,ENG-Premier League,795,0,0,2,0,6,9,0,0,,,
Simon Adingra,ci CIV,"MF,FW",Sunderland,23,ENG-Premier League,653,1,0,2,0,8,2,27,2,,,
Amine Adli,ma MAR,MF,Bournemouth,25,ENG-Premier League,1094,3,1,2,0,17,6,39,9,,,
Emmanuel Agbadou,ci CIV,DF,Wolves,28,ENG-Premier League,1101,0,0,1,1,21,14,13,3,,,
Nayef Aguerd,ma MAR,DF,West Ham,29,ENG-Premier League,180,0,0,0,0,0,1,2,0,,,
Ola Aina,ng NGA,DF,Nottingham,28,ENG-Premier League,1588,0,0,3,0,21,26,39,1,,,
Rayan Aït-Nouri,dz ALG,DF,Manchester City,24,ENG-Premier League,974,0,2,2,0,21,13,22,2,,,
Kristoffer Ajer,no NOR,DF,Brentford,27,ENG-Premier League,1810,0,1,4,0,23,15,7,3,,,
Nathan Aké,nl NED,DF,Manchester City,30,ENG-Premier League,695,0,0,1,0,6,5,4,1,,,
Carlos Alcaraz,ar ARG,MF,Everton,22,ENG-Premier League,689,0,1,4,0,9,2,6,5,,,
Omar Alderete,py PAR,DF,Sunderland,28,ENG-Premier League,2798,1,1,6,0,18,36,11,9,,,
Alisson,br BRA,GK,Liverpool,32,ENG-Premier League,2340,0,0,1,0,0,0,0,0,57,31,8
Max Alleyne,eng ENG,DF,Manchester City,20,ENG-Premier League,135,0,0,0,0,3,3,0,1,,,
Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,20,ENG-Premier League,10,0,0,0,0,0,0,0,0,,,
Zeki Amdouni,ch SUI,"FW,MF",Burnley,24,ENG-Premier League,73,0,0,0,0,0,0,0,1,,,
Ethan Ampadu,wls WAL,MF,Leeds United,24,ENG-Premier League,3119,1,1,10,0,46,50,25,6,,,
Joachim Andersen,dk DEN,DF,Fulham,29,ENG-Premier League,2875,0,1,7,1,26,34,15,4,,,
