Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru
Aaron Anselmino,ARG,DF,20.0,Dortmund,GER-Bundesliga,384,4.27,1,0,0.23,0.0,1,2,8,8,0,0,0.0,0.0,0.0,90,95,34.0,70.08
Aaron Appindangoyé,GAB,DF,33.0,Kocaelispor,TUR-Super Lig,315,3.5,0,0,0.0,0.0,1,0,1,5,0,0,0.0,0.0,0.0,90,40,34.0,29.24
Aaron Hickey,SCO,"DF,MF",23.0,Brentford,ENG-Premier League,691,7.68,0,0,0.0,0.0,1,4,7,8,1,0,0.0,0.0,0.0,100,40,38.0,30.43
Aaron Opoku,GER,"DF,MF",26.0,Kayserispor,TUR-Super Lig,1232,13.69,0,2,0.0,0.15,3,47,5,8,3,0,0.0,0.0,0.0,90,40,34.0,32.83
Aaron Ramsdale,ENG,GK,27.0,Newcastle,ENG-Premier League,1004,11.16,0,0,0.0,0.0,0,0,0,0,2,0,24.0,1.0,17.0,100,75,38.0,59.11
Aaron Wan-Bissaka,COD,"DF,MF",27.0,West Ham,ENG-Premier League,2081,23.12,0,2,0.0,0.09,0,43,24,41,4,0,0.0,0.0,0.0,100,40,38.0,35.3
Aaron Zehnter,GER,"DF,MF",20.0,Wolfsburg,GER-Bundesliga,1456,16.18,2,0,0.12,0.0,5,36,10,16,0,0,0.0,0.0,0.0,90,40,34.0,33.71
Aarón Escandell,ESP,GK,29.0,Oviedo,ESP-La Liga,3240,36.0,0,1,0.0,0.03,0,0,0,0,3,0,145.0,10.0,56.0,95,40,38.0,39.37
Aarón Martín,ESP,"MF,DF",28.0,Genoa,ITA-Serie A,2156,23.96,1,5,0.04,0.21,4,194,28,10,2,0,0.0,0.0,0.0,90,40,48.28,33.96
Abakar Sylla,CIV,DF,22.0,Nantes,FRA-Ligue 1,67,0.74,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,85,40,34.0,28.26
Abbosbek Fayzullayev,UZB,MF,21.0,Başakşehir,TUR-Super Lig,1103,12.26,3,3,0.24,0.24,12,82,17,6,4,0,0.0,0.0,0.0,90,75,34.0,60.61
Abdallah Sima,SEN,"MF,FW",24.0,Lens,FRA-Ligue 1,718,7.98,2,2,0.25,0.25,9,14,5,1,3,0,0.0,0.0,0.0,85,70,34.0,53.93
Abde Ezzalzouli,MAR,"MF,FW",23.0,Real Betis,ESP-La Liga,2247,24.97,10,8,0.4,0.32,26,55,32,15,3,0,0.0,0.0,0.0,95,40,38.0,35.89
Abde Rebbach,ALG,"MF,DF",26.0,Alavés,ESP-La Liga,1496,16.62,1,4,0.06,0.24,12,109,21,16,8,0,0.0,0.0,0.0,95,40,38.0,33.25
Abdel Abqar,MAR,DF,26.0,Getafe,ESP-La Liga,1437,15.97,0,2,0.0,0.13,1,2,17,20,10,1,0.0,0.0,0.0,95,40,38.0,33.04
Abdelhamid Ait Boudlal,MAR,DF,19.0,Rennes,FRA-Ligue 1,1403,15.59,2,1,0.13,0.06,4,2,11,18,3,1,0.0,0.0,0.0,85,40,34.0,33.5
Abdelhamid Sabiri,MAR,MF,28.0,Fiorentina,ITA-Serie A,27,0.3,0,0,0.0,0.0,0,4,2,0,0,0,0.0,0.0,0.0,90,40,48.28,28.07
Abdou Harroui,NED,MF,27.0,Hellas Verona,ITA-Serie A,907,10.08,1,0,0.1,0.0,2,28,17,1,3,0,0.0,0.0,0.0,90,40,48.28,30.51
Abdou Khadre Sy,SEN,FW,17.0,Eyüpspor,TUR-Super Lig,21,0.23,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.08
Abdoul Coulibaly,GER,DF,18.0,Werder Bremen,GER-Bundesliga,2120,23.56,1,0,0.04,0.0,1,13,14,24,5,1,0.0,0.0,0.0,90,40,34.0,36.32
Abdoul Ouattara,FRA,"MF,DF",19.0,Strasbourg,FRA-Ligue 1,1768,19.64,2,0,0.1,0.0,11,19,13,20,2,0,0.0,0.0,0.0,85,40,34.0,34.93
Abdoulaye Bamba,CIV,DF,35.0,Angers,FRA-Ligue 1,255,2.83,0,0,0.0,0.0,1,1,6,6,1,0,0.0,0.0,0.0,85,40,34.0,29.0
Abdoulaye Camara,FRA,MF,16.0,Udinese,ITA-Serie A,12,0.13,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.03
Abdoulaye Faye,SEN,DF,20.0,Lorient,FRA-Ligue 1,1444,16.04,0,0,0.0,0.0,2,4,24,28,8,0,0.0,0.0,0.0,85,40,34.0,33.66
Abdoulaye Ndiaye,SEN,DF,23.0,Parma,ITA-Serie A,780,8.67,0,0,0.0,0.0,0,0,10,11,5,1,0.0,0.0,0.0,90,40,48.28,30.15
Abdoulaye Touré,GUI,MF,31.0,Le Havre,FRA-Ligue 1,740,8.22,2,0,0.24,0.0,4,13,6,10,2,0,0.0,0.0,0.0,85,40,34.0,30.9
Abdoulie Ceesay,GAM,FW,21.0,St Pauli,GER-Bundesliga,336,3.73,3,0,0.8,0.0,4,2,2,0,4,0,0.0,0.0,0.0,90,40,34.0,29.32
Abdukodir Khusanov,UZB,DF,21.0,Manchester City,ENG-Premier League,1432,15.91,0,0,0.0,0.0,1,3,20,29,2,0,0.0,0.0,0.0,100,100,38.0,82.56
Abdul Kone,CIV,FW,17.0,Karagümrük,TUR-Super Lig,43,0.48,0,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.17
Abdul Mumin,GHA,DF,27.0,Rayo Vallecano,ESP-La Liga,79,0.88,0,0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,95,40,38.0,28.28
